Mode,Line Id,Stop Name,Avg. Delay Seconds
B,38,SCIENCE,124.468107877
B,38,ROYALE,129.569832402
B,38,RENE GOBERT,114.236808780
B,38,PATTON,117.717575758
B,38,MONTJOIE,117.087470449
B,38,MALIBRAN,129.856858054
B,38,LUXEMBOURG,126.979126731
B,38,LONGCHAMP,119.717413572
B,38,IDALIE,125.499586572
B,38,HOUZEAU,117.013093290
B,38,HEROS,95.721364619
B,38,GOSSART,115.890030021
B,38,GARE CENTRALE,126.486388385
B,38,FLORIDE,116.330155544
B,38,FLAGEY,131.062448868
B,38,BOZAR,129.285964912
B,38,BLYCKAERTS,125.855860831
B,38,BIARRITZ,129.450502641
B,38,BASCULE,127.118846618
B,41,ZEECRABBE,152.481557377
B,41,WATERMAEL GARE,152.258472433
B,41,VIGNETTE,154.583811537
B,41,VERT CHASSEUR,153.589912281
B,41,TRITOMAS,154.649468892
B,41,TRANSVAAL,111.151228733
B,41,STATUAIRES,157.423464250
B,41,SCHOONEJANS,145.116068433
B,41,SACRE-COEUR,145.006076389
B,41,PECHERIES,155.258594918
B,41,MONTANA,154.946937439
B,41,LOUTRIER,156.384791123
B,41,KEYM,160.220874471
B,41,HOUZEAU,161.082795699
B,41,HOP.STE-ELISABETH,150.798336377
B,41,HERRMANN-DEBROUX,146.685673557
B,41,HEROS,115.001327727
B,41,HANNETONS,154.380952381
B,41,FUTAIE,158.098989195
B,41,FLORIDE,158.952396373
B,41,DRIES,156.489843029
B,41,DEMEY,149.1168
B,41,BRESIL,163.670509126
B,41,BOONDAEL GARE,160.575527426
B,41,BIEN-FAIRE,166.328716528
B,41,ARCHIDUCS,154.992948287
B,42,VIADUC E40,88.568393363
B,42,UCL SAINT-LUC,119.978146853
B,42,THUMAS,119.886520376
B,42,THIRY-WOLUWE,126.898397545
B,42,SAINT-ANTOINE,121.601622545
B,42,ROODEBEEK,121.615422277
B,42,PEUPLIERS,117.633847550
B,42,MARCEL THIRY,121.099404117
B,42,LENNEKE MARE,125.350881430
B,42,HOF TER MUSSCHEN,125.645190980
B,42,DUNETTE,129.602444904
B,42,CHARMILLE,125.799343305
B,42,ANNECY,120.706518179
B,43,ZEECRABBE,188.377423033
B,43,VIVIER D'OIE,131.776847613
B,43,VIEUX CHEMIN,165.441392650
B,43,VERREWINKEL,186.125668449
B,43,VAN BEVER,190.231387087
B,43,UCCLE CALEVOET,172.802309307
B,43,STATUAIRES,184.756319934
B,43,SAINTE-ALLIANCE,188.752971688
B,43,RONCES,192.337770383
B,43,RITTWEGER,174.451871658
B,43,RACING,206.289915966
B,43,PRINCE D'ORANGE,192.596107705
B,43,PASTEUR,186.421009098
B,43,OBSERVATOIRE,122.146515954
B,43,NAPOLEON,188.133333333
B,43,MOENSBERG GARE,171.450600542
B,43,JEANNE HERREMAN,171.775193798
B,43,HOUZEAU,187.707782299
B,43,HOSPICES,174.912506710
B,43,HOMBORCH,180.700399155
B,43,HEROS,181.549410172
B,43,GUI,187.144037455
B,43,GRIOTTES,155.523844461
B,43,GLOBE,181.236058365
B,43,GAZELLE,181.670484581
B,43,GARE DE LINKEBEEK,176.611780916
B,43,FORT-JACO,196.696248856
B,43,ENGELAND,168.618012422
B,43,CABRIS,184.216946676
B,43,BRAVES,167.340701220
B,43,BOURDON,172.911401099
B,43,BIGARREAUX,176.697341513
B,45,SAINT-VINCENT,111.660130293
B,45,ROODEBEEK,124.913113621
B,45,PEUPLIERS,115.685508736
B,45,PERMEKE,119.043488824
B,45,PAIX,136.726668308
B,45,PADUWA,129.202760846
B,45,OUD KAPELLEKE,135.130083778
B,45,MARCEL THIRY,114.407240745
B,45,LOISIRS,122.042260363
B,45,HOEDEMAEKERS,133.397628819
B,45,GULLEDELLE,121.789626155
B,45,GUILLAUME,124.843794434
B,45,FONSON,134.320049813
B,45,DUNANT,123.793501295
B,45,DE LOMBAERDE,112.710591133
B,45,CICERON,111.543180930
B,45,CHARMILLE,117.507275464
B,45,ARIANE,119.479030558
B,46,YSER,94.046911650
B,46,WTC,97.624722554
B,46,WESTLAND SHOPPING,77.913645447
B,46,VANHELLEMONT,77.117353059
B,46,SIBELIUS,75.992339611
B,46,SCHERDEMAEL,76.464266131
B,46,SAINT-GUIDON,103.677997610
B,46,RESISTANCE,105.110991088
B,46,PTE D'ANDERLECHT,89.689126514
B,46,POMMIER,77.441481481
B,46,NICOLAY,92.190284653
B,46,NEERPEDE,77.942212675
B,46,MOORTEBEEK,61.071447265
B,46,MEIR,83.451580782
B,46,LIVERPOOL,91.719986807
B,46,HOPITAL BRACOPS,76.510210543
B,46,GLIBERT,73.050260453
B,46,DOUVRES,103.702910672
B,46,DE LINDE,76.205193808
B,46,DE BROUCKERE,93.062630480
B,46,CUREGHEM,82.282393670
B,46,CLEMENCEAU,85.948802947
B,46,BUANDERIE,90.079297430
B,46,BOURSE,94.187293482
B,46,BEGUINAGE,93.495466566
B,46,ALBERT I,92.558900524
B,47,ZAVELPUT,112.908089501
B,47,VTM,179.044527435
B,47,VLIERKENS,174.824779249
B,47,VILVOORDE STATION,123.394818768
B,47,TWEE LEEUWENWEG,169.114530926
B,47,TRASSERSWEG,107.538331216
B,47,RAMIER,112.464210155
B,47,PRES COMMUNS,109.719318182
B,47,PETER BENOIT,112.251769464
B,47,MINNEMOLEN,165.837563452
B,47,KERK VILVOORDE,161.496586599
B,47,JORDAEN,159.517578125
B,47,HOOGVELD,373.090909091
B,47,HELDENPLEIN,152.632319820
B,47,HEEMBEEK,77.555825243
B,47,HANSSENSPARK,156.488533704
B,47,ENNEPETAL,169.283358896
B,47,CHEMIN VERT,111.553480475
B,47,BLOKKEN,158.786576169
B,47,ANTOON VAN OSS,108.770846201
B,48,VICTOR ALLARD,127.589961117
B,48,TIMMERMANS,110.134882985
B,48,SUEDE,139.879436072
B,48,SERBIE,129.697709924
B,48,ROUPPE,179.564637681
B,48,ROCHEFORT,132.537589956
B,48,PORTE DE HAL,135.164989059
B,48,MYSTERE,115.026042816
B,48,MONT KEMMEL,114.004072883
B,48,MOLIERE-LONGCHAMP,116.456898964
B,48,MANNEKEN-PIS,180.166716285
B,48,LAINE,114.462136847
B,48,JEU DE BALLE,143.035303777
B,48,HOP. SAINT-PIERRE,140.839103068
B,48,GRAND-PLACE,146.682564103
B,48,GRAND SABLON,144.413043478
B,48,GATTI DE GAMOND,111.179743888
B,48,GARE DU MIDI,140.765270506
B,48,DUDEN,113.277735076
B,48,DOMAINE,113.950882890
B,48,DECROLY,94.655377345
B,48,CHAPELLE,145.660230292
B,48,CESAR DE PAEPE,141.750325098
B,48,AVENUE DU ROI,127.668528121
B,48,AULNE,114.220309811
B,48,ANNEESSENS,134.695153061
B,48,ALTITUDE CENT,112.668917018
B,48,ALBERT,118.215471394
B,49,WIELS,103.519415808
B,49,VEEWEYDE,94.632100708
B,49,VAN KALKEN,96.581400535
B,49,SUEDE,97.045485754
B,49,SIPPELBERG,103.408798910
B,49,SIMONIS,98.056350070
B,49,SAINT-GUIDON,117.857122051
B,49,RESISTANCE,118.896517610
B,49,PRINCE DE LIEGE,108.546689066
B,49,PETERBOS,116.074032996
B,49,PAULSEN,100.153406928
B,49,ORBAN,97.688237073
B,49,MEIR,98.928504359
B,49,MAISON D'ERASME,124.484764543
B,49,MACHTENS,109.227104918
B,49,LIBERTE,104.316896471
B,49,LEROY,108.132968691
B,49,JAKOB SMITS,108.244635193
B,49,IMPRIMERIE,97.603540320
B,49,ILE SAINTE-HELENE,102.262668217
B,49,GARE DU MIDI,104.147519582
B,49,DIGUE DU CANAL,101.283811475
B,49,CIM. DE MOLENBEEK,105.182585665
B,49,CHARROI,101.205722261
B,49,CANDRIES,108.133472170
B,49,BROEREN,118.274509804
B,49,BEAUTE,119.181911916
B,49,BASTOGNE,108.184996738
B,49,AVENUE DU ROI,99.336101399
B,49,ARISTIDE BRIAND,95.475503851
B,50,WIELS,176.774388489
B,50,WATERBURY,145.827371695
B,50,VOETBALCLUB,139.097636177
B,50,UCCLE SPORT,170.732905983
B,50,SUEDE,182.324713410
B,50,STATION LOT,142.934560327
B,50,SPORTCENTRUM,162.349056604
B,50,SAINT-DENIS,174.582589824
B,50,RUISBROEK CENTRUM,160.677258403
B,50,RUE LONGUE,161.358778626
B,50,ORBAN,175.923187365
B,50,NEERSTALLE,170.346932420
B,50,MAX WALLER,174.172930904
B,50,LOT STATION,108.055910543
B,50,KERK RUISBROEK,165.317330837
B,50,KAPEL RUISBROEK,164.917789387
B,50,IMPRIMERIE,175.441655658
B,50,GILSON,173.601762712
B,50,GARE DU MIDI,183.780997909
B,50,FOREST CENTRE,174.035178777
B,50,CHARROI,180.103338633
B,50,BERVOETS,179.448269231
B,50,BEMPT,175.609628770
B,50,BEKA,149.945652174
B,50,AVENUE DU ROI,178.635907723
B,53,ZAVELPUT,129.135961104
B,53,WOESTE,128.205970149
B,53,WILLEMYNS,127.013719512
B,53,WESTLAND SHOPPING,131.598567818
B,53,VERSAILLES,126.451112610
B,53,VAL MARIA,139.210890387
B,53,SIMPSON,122.734654422
B,53,SERRES ROYALES,124.000647983
B,53,SCHOLA EUROPEA,120.282222222
B,53,RIETHUISEN,126.364418116
B,53,PRINCE DE LIEGE,127.478701477
B,53,PETERBOS,128.306925130
B,53,PETER BENOIT,127.169808281
B,53,PAGODES,122.375232967
B,53,MIROIR,125.363861004
B,53,MACHTENS,128.829668800
B,53,LOYAUTE,131.153934686
B,53,LONG BONNIER,123.783276172
B,53,LEROY,123.391145596
B,53,LEOPOLD I,124.618915710
B,53,KRUIPWEG,128.420500095
B,53,KAREL BOGAERD,123.175310759
B,53,HOP. MILITAIRE,92.754803349
B,53,GARE DE BOCKSTAEL,127.937706271
B,53,FRUITS,126.723593964
B,53,FERME NOS PILIFS,124.714439462
B,53,EMILE DELVA,130.033683890
B,53,DE WAND,128.526846805
B,53,CIM. DE MOLENBEEK,128.162578335
B,53,CANDRIES,127.019221968
B,53,BOSSAERT-BASILIQ.,127.684681752
B,53,BOCKSTAEL,130.125989044
B,53,BEYSEGHEM,127.947053321
B,53,BASTOGNE,130.416929382
B,53,ARTISTES,122.040533607
B,54,VANNE,135.606963958
B,54,TRONE,118.033756581
B,54,TRINITE,133.878285654
B,54,TOURNOI,134.566512244
B,54,SAINT-DENIS,132.734116519
B,54,QUART.ST-BONIFACE,133.599508600
B,54,PRISON,132.822111181
B,54,PORTE DE NAMUR,137.406092172
B,54,MYSTERE,134.816868280
B,54,MA CAMPAGNE,138.902076478
B,54,JUPITER,137.011299435
B,54,GARE FOREST-EST,133.557762938
B,54,FOREST NATIONAL,138.890119707
B,54,FOREST CENTRE,137.316771269
B,54,FOREST (BERVOETS),105.948911652
B,54,FERNAND COCQ,135.472303657
B,54,DUDEN,132.400712134
B,54,BERVOETS,137.328582740
B,54,BAILLI,135.394584838
B,54,ALBERT,136.536588366
B,56,VOLTAIRE,173.227051178
B,56,VERGER,152.058364070
B,56,VERBOEKHOVEN,172.960488088
B,56,VAN PRAET,163.903521567
B,56,VAL MARIA,181.572789719
B,56,SCHUMAN,134.508385830
B,56,PRINC. ELISABETH,171.209328239
B,56,PRES COMMUNS,156.330343470
B,56,POGGE,173.932984699
B,56,PETER BENOIT,160.573038312
B,56,MERCATOR,149.442277516
B,56,LUTHER,160.110429448
B,56,HOP. MILITAIRE,152.375413816
B,56,HEEMBEEK,175.431903374
B,56,FERME NOS PILIFS,155.184845560
B,56,DOCKS BRUXSEL,175.950360701
B,56,DE BEJAR,143.674371859
B,56,DAILLY,169.947226710
B,56,CROSSING,174.308657869
B,56,CROIX DE GUERRE,158.434841454
B,56,COTEAUX,178.012369478
B,56,COLIGNON,174.187746724
B,56,BUDA,180.883583447
B,56,BREMER,167.618302925
B,56,BRABANCONNE,170.301478953
B,56,AZALEES,174.938282139
B,56,ANTOON VAN OSS,151.775062344
B,56,AMBIORIX,169.116051243
B,57,WTC,159.715542522
B,57,WILLEBROEK,158.382451850
B,57,VAN PRAET,165.888759870
B,57,TROIS PERTUIS,171.296536797
B,57,TRASSERSWEG,163.845257903
B,57,TOUR ET TAXIS,165.018656716
B,57,RIVE GAUCHE,170.664970930
