Stop Name,Mode,Weekend,Line Id,Avg. Delay Seconds
BOCKSTAEL,B,1,86,171.705343511
BOCKSTAEL,B,1,53,195.330214640
BOCKSTAEL,M,0,6,138.093395858
BOCKSTAEL,M,1,6,199.715555556
BOCKSTAEL,T,0,93,77.525349008
BOCKSTAEL,T,1,93,208.040375587
BOETENDAEL,T,0,92,94.303122158
BOETENDAEL,T,0,51,110.059904306
BOETENDAEL,T,0,4,78.332108866
BOETENDAEL,T,1,92,218.015503876
BOETENDAEL,T,1,51,161.032392027
BOETENDAEL,T,1,4,139.809238152
BOILEAU,B,0,36,146.346481540
BOILEAU,B,1,36,233.601747815
BOILEAU,T,0,25,175.5
BOILEAU,T,0,7,74.974449339
BOILEAU,T,1,25,71
BOILEAU,T,1,7,167.854166667
BOIS DES ILES,B,0,87,107.542267584
BOIS DES ILES,B,0,83,143.756548536
BOIS DES ILES,B,1,87,226.270341207
BOIS DES ILES,B,1,83,257.824324324
BOITSFORT GARE,T,0,8,100.621364760
BOITSFORT GARE,T,1,8,183.714009662
BOLLINCKX,B,0,98,196.041058394
BOLLINCKX,B,0,78,133.817435897
BOLLINCKX,B,1,98,187.058823529
BOLLINCKX,B,1,78,173.298969072
BON AIR,B,0,75,106.391457680
BON AIR,B,1,75,179.030303030
BONAVENTURE,B,0,83,145.013490725
BONAVENTURE,B,0,14,145.558661033
BONAVENTURE,B,0,13,161.525
BONAVENTURE,B,1,83,243.041666667
BONAVENTURE,B,1,14,183.547589617
BONAVENTURE,B,1,13,162.1875
BOONDAEL GARE,B,0,41,133.243047831
BOONDAEL GARE,B,1,41,246.491258741
BOONDAEL GARE,T,0,25,116.75
BOONDAEL GARE,T,0,8,99.162166262
BOONDAEL GARE,T,1,25,373
BOONDAEL GARE,T,1,8,183.193907875
BORDET STATION,B,0,80,112.291161894
BORDET STATION,B,0,69,220.580873672
BORDET STATION,B,0,65,89.857263310
BORDET STATION,B,0,64,98.214851485
BORDET STATION,B,0,59,112.892810458
BORDET STATION,B,0,21,141.863558840
BORDET STATION,B,1,80,244.308649658
BORDET STATION,B,1,65,195.763289870
BORDET STATION,B,1,64,182.129629630
BORDET STATION,B,1,59,209.751173709
BORDET STATION,B,1,21,210.138888889
BORDET STATION,T,0,55,73.715312725
BORDET STATION,T,1,55,128.651685393
BORNE,B,0,86,155.330161943
BORNE,B,1,86,195.900115473
BOSSAERT-BASILIQ.,B,0,53,111.951861757
BOSSAERT-BASILIQ.,B,1,53,187.339313573
BOSSAERT-BASILIQ.,T,0,19,90.009849066
BOSSAERT-BASILIQ.,T,1,19,181.019018405
BOSSUET,B,0,61,41.5
BOSSUET,B,0,59,112.607299270
BOSSUET,B,1,59,242.031578947
BOTANIQUE,B,0,61,136.335842501
BOTANIQUE,B,1,61,232.727642276
BOTANIQUE,M,0,6,136.479819180
BOTANIQUE,M,0,2,108.012553740
BOTANIQUE,M,1,6,193.363106796
BOTANIQUE,M,1,2,139.231088083
BOTANIQUE,T,0,93,78.051694625
BOTANIQUE,T,0,92,90.536550308
BOTANIQUE,T,1,93,170.698162730
BOTANIQUE,T,1,92,182.950584007
BOULE ET BILL,B,0,88,142.164805954
BOULE ET BILL,B,1,88,209.993377483
BOULEAUX,B,0,36,132.866989462
BOULEAUX,B,1,36,175.139044944
BOURDON,B,0,70,175.591348601
BOURDON,B,0,43,162.518872215
BOURDON,B,1,43,204.963534362
BOURDON,T,0,51,101.660596753
BOURDON,T,1,51,153.213147410
BOURGET,B,0,12,163.103369241
BOURGET,B,1,12,221.524539877
BOURGET,T,0,62,179.732435034
BOURGET,T,1,62,205.342192691
BOURSE,B,0,89,181.3890625
BOURSE,B,0,46,69.753852476
BOURSE,B,0,33,123.183409754
BOURSE,B,1,89,195.361502347
BOURSE,B,1,46,160.584589615
BOURSE,B,1,33,122.670673077
BOURSE,T,0,4,94.053320249
BOURSE,T,0,3,89.588505747
BOURSE,T,1,4,148.204347826
BOURSE,T,1,3,147.4064
BOZAR,B,0,71,80.614133483
BOZAR,B,0,38,109.185714286
BOZAR,B,1,71,132.030534351
BOZAR,B,1,38,208.813043478
BRABANCONNE,B,0,64,122.584929226
BRABANCONNE,B,0,61,130.876359681
BRABANCONNE,B,0,56,151.888242142
BRABANCONNE,B,0,28,93.480856319
BRABANCONNE,B,1,64,246.532577904
BRABANCONNE,B,1,61,223.481223922
BRABANCONNE,B,1,56,236.274244004
BRABANCONNE,B,1,28,164.964968153
BRAEMT,B,0,59,123.064128944
BRAEMT,B,1,59,253.066104079
BRAVES,B,0,70,177.119747899
BRAVES,B,0,43,157.478880157
BRAVES,B,1,43,201.488095238
BREMER,B,0,56,151.217604356
BREMER,B,1,56,232.351719198
BRESIL,B,0,41,128.454234388
BRESIL,B,1,41,268.556687898
BRESIL,T,0,25,158.545454545
BRESIL,T,0,8,101.232879581
BRESIL,T,1,25,300
BRESIL,T,1,8,183.111111111
BRILLANT,B,0,17,150.925675676
BRILLANT,B,1,17,221.499054820
BROEK,B,0,87,111.532110092
BROEK,B,1,87,203
BROEREN,B,0,49,94.355374078
BROEREN,B,1,49,193.812811980
BROUSTIN,T,0,19,81.676555526
BROUSTIN,T,0,9,110.597853659
BROUSTIN,T,1,19,189.098171970
BROUSTIN,T,1,9,172.802108678
BRUNARD,B,0,60,132.613562092
BRUNARD,B,1,60,239.196721311
BRUSSELS AIRPORT,B,0,12,112.030365485
BRUSSELS AIRPORT,B,1,12,137.124938272
BRUSSELSESTEENWEG,T,0,44,105.261356932
BRUSSELSESTEENWEG,T,1,44,203.853773585
BRUXELLOIS,T,0,9,109.924702774
BRUXELLOIS,T,1,9,163.655070318
BUANDERIE,B,0,46,69.306027018
BUANDERIE,B,1,46,150.995937024
BUDA,B,0,56,146.078404402
BUDA,B,1,56,281.962272526
BUEDTS,B,0,34,90.694741533
BUEDTS,B,1,34,191.605633803
BUISSONNETS,T,0,7,75.950243375
BUISSONNETS,T,0,3,81.299463553
BUISSONNETS,T,1,7,103.414037855
BUISSONNETS,T,1,3,151.063280600
BUYL,B,0,71,83.629083413
BUYL,B,1,71,136.401159981
BUYL,T,0,25,145.666666667
BUYL,T,0,8,96.908019937
BUYL,T,0,7,75.2
BUYL,T,1,8,177.135317997
BUYL,T,1,7,163.979016787
CABRIS,B,0,70,182.938547486
CABRIS,B,0,43,179.909695817
CABRIS,B,0,37,145.805653710
CABRIS,B,1,43,198.511041009
CABRIS,B,1,37,234.219879518
CALYPSO 2000,B,0,95,84.834961440
CALYPSO 2000,B,0,17,136.549280767
CALYPSO 2000,B,1,95,156.250493097
CALYPSO 2000,B,1,17,241.704402516
CAMBRE-ETOILE,T,0,8,99.485423086
CAMBRE-ETOILE,T,0,7,75.668413652
CAMBRE-ETOILE,T,1,8,181.682728749
CAMBRE-ETOILE,T,1,7,170.105501985
CAMPUS CERIA,B,0,75,163.067251462
CAMPUS CERIA,B,1,75,234.932065217
CANDRIES,B,0,87,107.736858191
CANDRIES,B,0,53,109.897421203
CANDRIES,B,0,49,91.225658648
CANDRIES,B,1,87,224.379392971
CANDRIES,B,1,53,194.922727273
CANDRIES,B,1,49,188.616139586
CAPRICORNE,B,0,79,128.111825829
CAPRICORNE,B,0,27,154.548405467
CAPRICORNE,B,1,79,242.750385208
CAPRICORNE,B,1,27,206.460721868
CARENE,B,0,80,107.788875230
CARENE,B,0,79,131.407433137
CARENE,B,0,21,153.530217327
CARENE,B,1,80,248.354001442
CARENE,B,1,79,231.909617613
CARENE,B,1,21,190.824795082
CARLI,B,0,69,261.112
CARLI,B,0,59,111.436746988
CARLI,B,1,59,227.185064935
CARREFOUR STALLE,B,0,98,185.082345191
CARREFOUR STALLE,B,1,98,164.5625
CARREFOUR STALLE,T,0,97,98.069324606
CARREFOUR STALLE,T,0,82,92.753266826
CARREFOUR STALLE,T,0,4,73.940270206
CARREFOUR STALLE,T,1,97,227.014026403
CARREFOUR STALLE,T,1,82,164.870219436
CARREFOUR STALLE,T,1,4,140.234059726
CAVELL,B,0,60,131.195678033
CAVELL,B,1,60,239.321585903
CAVELL,T,0,7,81.153188892
CAVELL,T,1,7,181.085592011
CERES,B,0,58,138.656151420
CERES,B,1,58,219.815845824
CERIA,B,0,98,221.972828030
CERIA,B,0,75,155.291573286
CERIA,B,1,98,225.208872458
CERIA,B,1,75,265.204288267
CERIA,M,0,5,78.810104250
CERIA,M,1,5,154.489141675
CERISAIE,B,0,95,83.974614236
CERISAIE,B,1,95,149.133192389
CESAR DE PAEPE,B,0,48,122.993254637
CESAR DE PAEPE,B,0,33,156.479809976
CESAR DE PAEPE,B,1,48,204.948863636
CESAR DE PAEPE,B,1,33,162.369565217
CHANT D'OISEAU,B,0,36,131.874450952
CHANT D'OISEAU,B,1,36,233.873323398
CHAPELLE,B,0,48,122.661808929
CHAPELLE,B,0,33,155.840909091
CHAPELLE,B,1,48,220.866111952
CHAPELLE,B,1,33,162.111111111
CHARMILLE,B,0,45,103.126001232
CHARMILLE,B,0,42,126.404624277
CHARMILLE,B,0,29,104.729066410
CHARMILLE,B,1,45,180.590540541
CHARMILLE,B,1,42,123.909774436
CHARMILLE,B,1,29,204.304857621
CHARROI,B,0,74,138.703444250
CHARROI,B,0,50,157.250339828
CHARROI,B,0,49,81.785204526
CHARROI,B,1,74,206.948240166
CHARROI,B,1,50,260.995990377
CHARROI,B,1,49,179.776760563
CHASSEURS ARDEN.,B,0,61,133.046001852
CHASSEURS ARDEN.,B,0,28,135.108213820
CHASSEURS ARDEN.,B,1,61,221.847682119
CHASSEURS ARDEN.,B,1,28,226.983922830
CHATAIGNES,T,0,97,105.094151213
CHATAIGNES,T,0,82,96.124455389
CHATAIGNES,T,1,97,214.400801603
CHATAIGNES,T,1,82,169.785437645
CHAUMONTEL,B,0,69,280.092348285
CHAUMONTEL,B,0,59,111.624370594
CHAUMONTEL,B,1,59,220.652838428
CHAZAL,B,0,65,93.768694940
CHAZAL,B,0,64,106.159982371
CHAZAL,B,1,65,203.855194124
CHAZAL,B,1,64,198.95
CHAZAL,T,0,7,74.869579501
CHAZAL,T,1,7,164.958158996
CHEMIN DE FER,B,0,58,138.995088409
CHEMIN DE FER,B,1,58,228.801635992
CHEMIN VERT,B,0,57,164.899661017
CHEMIN VERT,B,0,47,95.538626609
CHEMIN VERT,B,1,47,172.227642276
CHENAIE,B,0,60,131.155418251
CHENAIE,B,1,60,245.171052632
CHEVALERIE,B,0,61,126.251504212
CHEVALERIE,B,1,61,226.154074074
CHIEN VERT,B,0,36,133.561303891
CHIEN VERT,B,1,36,216.189415042
CHIEN VERT,T,0,44,111.732026144
CHIEN VERT,T,0,39,102.795241178
