Line Id,Point Id,Day Of Week,Avg. Delay Seconds
2,8311,Friday,77.441558442
2,8311,Thursday,95.229426434
2,8311,Wednesday,95.797919762
2,8311,Tuesday,113.172853828
2,8311,Monday,106.336363636
2,8311,Sunday,128.646718147
2,8312,Friday,103.271276596
2,8312,Thursday,106.620865140
2,8312,Wednesday,108.746621622
2,8312,Tuesday,124.853836784
2,8312,Monday,128.097708082
2,8312,Sunday,149.300952381
2,8321,Friday,78.293628809
2,8321,Thursday,100.338582677
2,8321,Wednesday,94.984042553
2,8321,Tuesday,113.505913272
2,8321,Monday,104.310473815
2,8321,Sunday,127.770065076
2,8322,Friday,105.228205128
2,8322,Thursday,113.870801034
2,8322,Wednesday,114.497545008
2,8322,Tuesday,126.354609929
2,8322,Monday,126.922183508
2,8322,Sunday,155.260606061
2,8331,Friday,84.316666667
2,8331,Thursday,99.927576602
2,8331,Wednesday,96.164814815
2,8331,Tuesday,114.636842105
2,8331,Monday,104.605943152
2,8331,Sunday,128.058947368
2,8332,Friday,100.667638484
2,8332,Thursday,111.138418079
2,8332,Wednesday,111.084337349
2,8332,Tuesday,125.036764706
2,8332,Monday,125.183079057
2,8332,Sunday,157.387173397
2,8341,Friday,85.598971722
2,8341,Thursday,102.456464380
2,8341,Wednesday,97.384105960
2,8341,Tuesday,118.076178960
2,8341,Monday,106.846878681
2,8341,Sunday,129.461089494
2,8342,Friday,99.549723757
2,8342,Thursday,109.981283422
2,8342,Wednesday,118.134790528
2,8342,Tuesday,123.252400549
2,8342,Monday,121.189500640
2,8342,Sunday,155.171974522
2,8351,Friday,91.496774194
2,8351,Thursday,109.616228070
2,8351,Wednesday,101.546391753
2,8351,Tuesday,122.460168697
2,8351,Monday,110.292910448
2,8351,Sunday,127.303244006
2,8352,Friday,98.521963824
2,8352,Thursday,108.928759894
2,8352,Wednesday,118.470489039
2,8352,Tuesday,123.232616941
2,8352,Monday,123.511029412
2,8352,Sunday,149.777120316
2,8361,Friday,87.503464203
2,8361,Thursday,105.251833741
2,8361,Wednesday,99.279279279
2,8361,Tuesday,118.526077098
2,8361,Monday,111.059734513
2,8361,Sunday,127.960396040
2,8362,Friday,103.351089588
2,8362,Thursday,110.455813953
2,8362,Wednesday,117.334306569
2,8362,Tuesday,125.664859002
2,8362,Monday,125.100966702
2,8362,Sunday,155.829187396
2,8371,Friday,91.707070707
2,8371,Thursday,105.713253012
2,8371,Wednesday,97.245949926
2,8371,Tuesday,118.878684807
2,8371,Monday,106.714765101
2,8371,Sunday,128.711281071
2,8372,Friday,101.511627907
2,8372,Thursday,114.304347826
2,8372,Wednesday,120.138972810
2,8372,Tuesday,125.151581243
2,8372,Monday,125.129796840
2,8372,Sunday,154.842016807
2,8381,Friday,88.069053708
2,8381,Thursday,107.778947368
2,8381,Wednesday,96.157094595
2,8381,Tuesday,119.190364277
2,8381,Monday,110.708937198
2,8381,Sunday,128.605522682
2,8382,Friday,105.754569191
2,8382,Thursday,120.528645833
2,8382,Wednesday,119.146341463
2,8382,Tuesday,135.869778870
2,8382,Monday,131.458682635
2,8382,Sunday,154.166666667
2,8401,Friday,79.780423280
2,8401,Thursday,100.737113402
2,8401,Wednesday,92.510569106
2,8401,Tuesday,111.309466019
2,8401,Monday,104.4375
2,8401,Sunday,129.777777778
2,8402,Friday,101.513736264
2,8402,Thursday,102.110512129
2,8402,Wednesday,116.979487179
2,8402,Tuesday,128
2,8402,Monday,124.063591022
2,8402,Sunday,145.881974249
2,8411,Friday,77.743243243
2,8411,Thursday,98.48
2,8411,Wednesday,90.775401070
2,8411,Tuesday,110.441952507
2,8411,Monday,100.625
2,8411,Sunday,133.079646018
2,8412,Friday,100.815217391
2,8412,Thursday,109.403553299
2,8412,Wednesday,110.224555735
2,8412,Tuesday,127.519206939
2,8412,Monday,124.533172497
2,8412,Sunday,147.925996205
2,8421,Friday,76.243037975
2,8421,Thursday,93.549597855
2,8421,Wednesday,96.143092105
2,8421,Tuesday,107.781326781
2,8421,Monday,107.582850521
2,8421,Sunday,130.581818182
2,8422,Friday,100.145205479
2,8422,Thursday,110.540845070
2,8422,Wednesday,111.835538752
2,8422,Tuesday,125.640583554
2,8422,Monday,124.322793149
2,8422,Sunday,148.340425532
2,8431,Friday,79.122715405
2,8431,Thursday,93.672456576
2,8431,Wednesday,95.502354788
2,8431,Tuesday,108.631127451
2,8431,Monday,102.658181818
2,8431,Sunday,134.098425197
2,8432,Friday,104.035040431
2,8432,Thursday,105.231182796
2,8432,Wednesday,113.170033670
2,8432,Tuesday,127.047858942
2,8432,Monday,122.483061481
2,8432,Sunday,142.870182556
2,8441,Friday,74.533333333
2,8441,Thursday,92.756232687
2,8441,Wednesday,96.499124343
2,8441,Tuesday,106.344129555
2,8441,Monday,103.910025707
2,8441,Sunday,132.390625
2,8442,Friday,101.322815534
2,8442,Thursday,111.038724374
2,8442,Wednesday,112.911301860
2,8442,Tuesday,129.829764454
2,8442,Monday,123.986815416
2,8442,Sunday,143.318815331
2,8461,Friday,75.986301370
2,8461,Thursday,98.234482759
2,8461,Wednesday,96.915611814
2,8461,Tuesday,108.808176101
2,8461,Monday,104.048370137
2,8461,Sunday,134.104316547
2,8462,Friday,103.4
2,8462,Thursday,111.324937028
2,8462,Wednesday,113.178571429
2,8462,Tuesday,128.229988726
2,8462,Monday,121.693989071
2,8462,Sunday,138.005671078
2,8471,Friday,93.480541455
2,8471,Thursday,98.211132438
2,8471,Wednesday,98.825657895
2,8471,Tuesday,109.293701345
2,8471,Monday,110.047557841
2,8471,Sunday,146.799599198
2,8472,Friday,155
2,8472,Thursday,132.285714286
2,8472,Wednesday,125
2,8472,Tuesday,154.777777778
2,8472,Monday,263.285714286
2,8472,Sunday,167.142857143
2,8743,Friday,95.213256484
2,8743,Thursday,109.425925926
2,8743,Wednesday,98.841726619
2,8743,Tuesday,121.968604651
2,8743,Monday,110.686046512
2,8743,Sunday,128.430952381
2,8744,Friday,105.975741240
2,8744,Thursday,122.947643979
2,8744,Wednesday,119.835314092
2,8744,Tuesday,135.172582619
2,8744,Monday,129.668329177
2,8744,Sunday,158.610752688
2,8753,Friday,94.169451074
2,8753,Thursday,113.651162791
2,8753,Wednesday,103.868271955
2,8753,Tuesday,118.870009285
2,8753,Monday,114.050429185
2,8753,Sunday,131.170055453
2,8754,Friday,107.453757225
2,8754,Thursday,120.805929919
2,8754,Wednesday,120.238515901
2,8754,Tuesday,131.543080940
2,8754,Monday,128.678617157
2,8754,Sunday,153.430803571
2,8763,Friday,65
2,8763,Thursday,126
2,8763,Wednesday,99.666666667
2,8763,Tuesday,121
2,8763,Monday,110
2,8763,Sunday,109
2,8764,Friday,103.647191011
2,8764,Thursday,128.504629630
2,8764,Wednesday,114.638273046
2,8764,Tuesday,129.583262891
2,8764,Monday,135.288770053
2,8764,Sunday,146.050393701
3,501,Saturday,120.494208494
3,501,Friday,41.75
3,501,Thursday,147.333333333
3,501,Wednesday,27.75
3,501,Tuesday,122.118556701
3,501,Monday,110.135231317
3,501,Sunday,152.572192513
3,506,Saturday,152.936046512
3,506,Friday,85.830663616
3,506,Thursday,77.442307692
3,506,Wednesday,81.517741935
3,506,Tuesday,92.035637149
3,506,Monday,90.328852120
3,506,Sunday,175.880530973
3,511,Saturday,120.953947368
3,511,Friday,59.666666667
3,511,Thursday,169
3,511,Wednesday,26
3,511,Tuesday,113.232227488
3,511,Monday,105.627627628
3,511,Sunday,156.136150235
3,516,Saturday,146.676375405
3,516,Friday,87.16
3,516,Thursday,79.371428571
3,516,Wednesday,84.349002849
3,516,Tuesday,92.517730496
3,516,Monday,89.264869888
3,516,Sunday,172.231237323
3,526,Saturday,147.699683878
3,526,Friday,80.706827309
3,526,Thursday,83.788659794
3,526,Wednesday,83.212003118
3,526,Tuesday,94.165439093
3,526,Monday,93.470173536
3,526,Sunday,173.945172825
3,531,Saturday,132.519572954
3,531,Friday,76.2
3,531,Thursday,274.2
3,531,Wednesday,14.6
3,531,Tuesday,105.175438596
3,531,Monday,100.260273973
3,531,Sunday,164.335051546
3,601,Saturday,113.115555556
3,601,Friday,62.25
3,601,Thursday,161
3,601,Wednesday,30.666666667
3,601,Tuesday,104.561728395
3,601,Monday,110.303370787
3,601,Sunday,166.393333333
3,606,Saturday,142.125260960
3,606,Friday,82.476426799
3,606,Thursday,79.461187215
3,606,Wednesday,81.262867647
3,606,Tuesday,96.015815085
3,606,Monday,88.280048077
3,606,Sunday,166.085858586
3,611,Saturday,112.357933579
3,611,Friday,76.75
3,611,Thursday,168.666666667
3,611,Wednesday,40.2
3,611,Tuesday,107.668449198
3,611,Monday,108.379310345
3,611,Sunday,154.153846154
3,616,Saturday,147.659142212
3,616,Friday,84.701058201
3,616,Thursday,75.825174825
3,616,Wednesday,77.809694794
3,616,Tuesday,92.957474227
3,616,Monday,90.720443350
3,616,Sunday,177.887978142
3,621,Saturday,124.884700665
3,621,Friday,113.833333333
3,621,Thursday,206.2
3,621,Wednesday,44.666666667
3,621,Tuesday,126.326530612
3,621,Monday,109.803005008
3,621,Sunday,168.620178042
3,626,Saturday,141.048638132
3,626,Friday,79.101769912
3,626,Thursday,76.196652720
3,626,Wednesday,73.978625954
3,626,Tuesday,87.799778761
3,626,Monday,85.613871636
3,626,Sunday,176.84375
3,702,Saturday,123.805970149
3,702,Friday,99
3,702,Thursday,205
3,702,Wednesday,30.25
3,702,Tuesday,119.902325581
3,702,Monday,101.644444444
3,702,Sunday,164.5
3,703,Saturday,128.672727273
3,703,Friday,89.333333333
3,703,Thursday,185.666666667
3,703,Wednesday,31.571428571
3,703,Tuesday,111.948571429
3,703,Monday,94.285266458
3,703,Sunday,152.207865169
3,704,Saturday,129.947565543
3,704,Friday,72
3,704,Thursday,180
3,704,Wednesday,22.333333333
3,704,Tuesday,106.777202073
3,704,Monday,105.557926829
3,704,Sunday,159.720588235
3,705,Saturday,128.071808511
3,705,Friday,53.75
3,705,Thursday,197
3,705,Wednesday,18
3,705,Tuesday,110.394822006
3,705,Monday,110.619136961
3,705,Sunday,176.284697509
3,706,Saturday,128.483333333
3,706,Friday,53.25
3,706,Thursday,265.8
3,706,Wednesday,19
3,706,Tuesday,117.704225352
3,706,Monday,100.459537572
3,706,Sunday,169.319672131
3,722,Saturday,143.422784810
3,722,Friday,76.628985507
3,722,Thursday,86.644444444
3,722,Wednesday,76.375502008
3,722,Tuesday,96.359890110
3,722,Monday,89.652065081
3,722,Sunday,158.596685083
3,723,Saturday,147.511482255
3,723,Friday,76.649758454
3,723,Thursday,82.573891626
3,723,Wednesday,80.469458988
3,723,Tuesday,97.497607656
3,723,Monday,88.987068966
3,723,Sunday,160.875
3,724,Saturday,133.721549637
3,724,Friday,80.549222798
3,724,Thursday,82.487684729
3,724,Wednesday,77.138632163
3,724,Tuesday,97.519083969
3,724,Monday,87.547837484
3,724,Sunday,160.895604396
3,725,Saturday,146.405714286
3,725,Friday,78.672064777
3,725,Thursday,82.611226611
3,725,Wednesday,84.158132530
3,725,Tuesday,96.179640719
3,725,Monday,86.041306436
3,725,Sunday,159.652654867
3,726,Saturday,150.802073516
3,726,Friday,82.609498681
3,726,Thursday,84.903304774
3,726,Wednesday,89.340729002
3,726,Tuesday,99.392931393
3,726,Monday,87.889821616
3,726,Sunday,170.461031833
3,2200,Saturday,154.565830721
3,2200,Friday,73.636893204
3,2200,Thursday,67.918063315
3,2200,Wednesday,79.707440101
3,2200,Tuesday,89.623411978
3,2200,Monday,83.451476793
3,2200,Sunday,165.210909091
3,2318,Saturday,115.004739336
3,2318,Friday,125.375
3,2318,Thursday,226.818181818
3,2318,Wednesday,187.735294118
3,2318,Tuesday,101.786632391
3,2318,Monday,99.067698259
3,2318,Sunday,162.133550489
3,2337,Saturday,144.946869070
3,2337,Friday,65.458083832
3,2337,Thursday,71.783375315
3,2337,Wednesday,75.495934959
3,2337,Tuesday,88.898666667
3,2337,Monday,77.643410853
3,2337,Sunday,146.002617801
3,2338,Saturday,108.078571429
3,2338,Friday,73.571428571
3,2338,Thursday,253.3
3,2338,Wednesday,86.428571429
3,2338,Tuesday,89.527363184
3,2338,Monday,102.141538462
3,2338,Sunday,163.379679144
3,2537,Saturday,141.690397351
3,2537,Friday,77.262195122
3,2537,Thursday,68.678068410
3,2537,Wednesday,72.877987421
3,2537,Tuesday,98.549410698
3,2537,Monday,92.693877551
3,2537,Sunday,162.850931677
3,2543,Saturday,124.022471910
3,2543,Friday,173.888888889
3,2543,Thursday,187.928571429
3,2543,Wednesday,180.461538462
3,2543,Tuesday,93.085714286
3,2543,Monday,98.971193416
3,2543,Sunday,167.389610390
3,5219,Saturday,130.284090909
3,5219,Tuesday,132.797752809
3,5219,Monday,114.128526646
3,5219,Sunday,188.969387755
3,5221,Saturday,134.219858156
3,5221,Tuesday,152.565656566
3,5221,Monday,95.487951807
3,5221,Sunday,132.266055046
3,5700,Saturday,143.794520548
3,5700,Friday,110
3,5700,Wednesday,93
3,5700,Tuesday,121.288461538
3,5700,Monday,119.724409449
3,5700,Sunday,186.062111801
3,5701,Saturday,140.397013068
3,5701,Friday,98.357142857
3,5701,Wednesday,107.382352941
3,5701,Tuesday,124.848790323
3,5701,Monday,119.869349845
3,5701,Sunday,187.779642058
3,5704,Saturday,137.333333333
3,5704,Friday,81
3,5704,Wednesday,57.333333333
3,5704,Tuesday,122.135483871
3,5704,Monday,118.119791667
3,5704,Sunday,177.532786885
3,5705,Saturday,122.803493450
3,5705,Friday,77.333333333
3,5705,Wednesday,63
3,5705,Tuesday,124.011764706
