Stop Name,Mode,Avg. Delay Seconds
DIEUDONNE LEFEVRE,B,160.477200308
DIEWEG,T,137.824210257
DIGUE DU CANAL,B,123.681290973
DIRECTOIRE,B,180.585928489
DIVIN SAUVEUR,B,161.251575630
DOCKS BRUXSEL,T,96.662958843
DOCKS BRUXSEL,B,167.729524604
DOMAINE,B,113.950882890
DON BOSCO,B,135.295513748
DORENT,B,203.267230169
DOUVRES,T,101.773915387
DOUVRES,B,103.702910672
DREVE DE NIVELLES,B,153.475013291
DREVE DES BRULES,T,121.958313926
DRIES,B,156.489843029
DROGENBOS,T,135.803796582
DROGENBOS-SHOP.,B,187.117881322
DROSSART,B,158.721804511
DUBOIS,B,125.995568140
DUCHESSE BRABANT,T,112.591126633
DUCHESSE BRABANT,B,159.886211071
DUDEN,B,122.520254170
DUNANT,B,127.910059035
DUNETTE,B,129.602444904
DUYSBURGH,B,160.760892116
EDDY MERCKX,M,88.597745013
EDDY MERCKX,B,165.493810179
EENENS,B,143.643179025
EGGERGAT,B,191.635424940
EGIDE VAN OPHEM,T,103.311113099
EGIDE VAN OPHEM,B,190.463280714
EGLANTIERS,T,117.865842055
EGLISE ST-ANTOINE,T,90.056904762
EGLISE ST-JULIEN,B,113.611629183
EGLISE WEZEMBEEK,B,190.159388646
ELBERS,B,127.798299320
ELEPHANT,B,168.967847158
ELISABETH,M,126.502248018
ELOY,B,110.896396396
EMILE DELVA,B,138.850309767
EMPAIN,T,118.507858316
ENGELAND,T,112.599832636
ENGELAND,B,163.312116136
ENNEPETAL,B,169.283358896
ENTREPOT,B,160.741641572
EQUIPAGES,B,143.053072626
ERASME,M,90.992603872
ERASME,B,160.839097744
ERNEST LAUDE,B,142.864981173
ERNEST SALU,T,86.162441038
ESCRIME,T,119.167505392
ESPLANADE,T,132.568178044
ESPLANADE,B,177.559647466
ETANGS,B,127.088857143
ETANGS BOITSFORT,B,157.337480560
ETANGS D'IXELLES,B,93.778011131
ETANGS NOIRS,M,89.348650955
ETANGS NOIRS,B,133.142534978
ETTERBEEK GARE,T,98.608624275
ETTERBEEK GARE,B,99.564369599
EUGENE TOUSSAINT,B,140.770833333
EUROCONTROL,T,216.737422868
EVERE SHOPPING,T,184.029695970
EVERE SHOPPING,B,138.824228292
EXPOSITION,T,117.662436877
