Stop Name,Mode,Day Of Week,Line Id,Avg. Delay Seconds
ARBRE BALLON,B,Sunday,88,205.863057325
ARBRE BALLON,B,Sunday,14,192.763102725
ARBRE BALLON,B,Sunday,13,195.601092896
ARBRE BALLON,B,Monday,88,156.820202020
ARBRE BALLON,B,Monday,14,157.122596154
ARBRE BALLON,B,Monday,13,136.319327731
ARBRE BALLON,B,Tuesday,88,146.185636856
ARBRE BALLON,B,Tuesday,14,153.139449541
ARBRE BALLON,B,Tuesday,13,147.216796875
ARBRE BALLON,B,Wednesday,88,130.962699822
ARBRE BALLON,B,Wednesday,14,151.788249694
ARBRE BALLON,B,Wednesday,13,129.688346883
ARBRE BALLON,B,Thursday,88,138.53
ARBRE BALLON,B,Thursday,14,143.472505092
ARBRE BALLON,B,Thursday,13,123.309433962
ARBRE BALLON,B,Friday,88,131.357333333
ARBRE BALLON,B,Friday,14,141.331439394
ARBRE BALLON,B,Friday,13,138.547297297
ARBRE BALLON,B,Saturday,88,194.216577540
ARBRE BALLON,B,Saturday,14,168.476744186
ARBRE BALLON,B,Saturday,13,169.210884354
ARBRE BALLON,T,Sunday,9,175.215384615
ARBRE BALLON,T,Monday,9,99.827450980
ARBRE BALLON,T,Tuesday,9,127.924953096
ARBRE BALLON,T,Wednesday,9,97.559888579
ARBRE BALLON,T,Thursday,9,98.626050420
ARBRE BALLON,T,Friday,9,103.301310044
ARBRE BALLON,T,Saturday,9,167.777777778
ARBRE UNIQUE,B,Sunday,63,204.798099762
ARBRE UNIQUE,B,Monday,63,123.516829533
ARBRE UNIQUE,B,Tuesday,63,125.343915344
ARBRE UNIQUE,B,Wednesday,63,118.889776358
ARBRE UNIQUE,B,Thursday,63,121.375954198
ARBRE UNIQUE,B,Friday,63,113.511293634
ARBRE UNIQUE,B,Saturday,63,195.662313433
ARCADES,B,Sunday,95,148.675304878
ARCADES,B,Monday,95,84.651709402
ARCADES,B,Tuesday,95,86.894973743
ARCADES,B,Wednesday,95,82.257291667
ARCADES,B,Thursday,95,79.538461538
ARCADES,B,Friday,95,77.079470199
ARCADES,B,Saturday,95,154.951111111
ARCHIDUCS,B,Sunday,41,292.135021097
ARCHIDUCS,B,Monday,41,128.464128843
ARCHIDUCS,B,Tuesday,41,135.918006431
ARCHIDUCS,B,Wednesday,41,143.465631929
ARCHIDUCS,B,Thursday,41,121.955555556
ARCHIDUCS,B,Friday,41,138.970588235
ARCHIDUCS,B,Saturday,41,211.157575758
ARENBERG,B,Sunday,89,169.418277680
ARENBERG,B,Sunday,71,135.111747851
ARENBERG,B,Sunday,29,225.178644764
ARENBERG,B,Monday,89,187.267973856
ARENBERG,B,Monday,71,76.439974457
ARENBERG,B,Monday,29,138.189528796
ARENBERG,B,Tuesday,89,178.470653378
ARENBERG,B,Tuesday,71,86.653868872
ARENBERG,B,Tuesday,29,137.607966457
ARENBERG,B,Wednesday,89,179.029207232
ARENBERG,B,Wednesday,71,77.449820789
ARENBERG,B,Wednesday,29,130.593607306
ARENBERG,B,Thursday,89,177.456375839
ARENBERG,B,Thursday,71,78.009114583
ARENBERG,B,Thursday,29,120.260303688
ARENBERG,B,Friday,89,171.162790698
ARENBERG,B,Friday,71,83.329097840
ARENBERG,B,Friday,29,115.135555556
ARENBERG,B,Saturday,89,216.172214182
ARENBERG,B,Saturday,71,116.092254134
ARENBERG,B,Saturday,29,204.205651491
ARIANE,B,Sunday,79,241.163636364
ARIANE,B,Sunday,45,213.779840849
ARIANE,B,Monday,79,137.384284177
ARIANE,B,Monday,45,105.592242195
ARIANE,B,Tuesday,79,146.121681416
ARIANE,B,Tuesday,45,107.093358999
ARIANE,B,Wednesday,79,116.551369863
ARIANE,B,Wednesday,45,104.862204724
ARIANE,B,Thursday,79,132.069767442
ARIANE,B,Thursday,45,104.526717557
ARIANE,B,Friday,79,120.461873638
ARIANE,B,Friday,45,88.313883300
ARIANE,B,Saturday,79,232.160075330
ARIANE,B,Saturday,45,173.584867076
ARISTIDE BRIAND,B,Sunday,74,228.597796143
ARISTIDE BRIAND,B,Sunday,49,194.922942207
ARISTIDE BRIAND,B,Monday,74,143.032716927
ARISTIDE BRIAND,B,Monday,49,70.769230769
ARISTIDE BRIAND,B,Tuesday,74,159.253094911
ARISTIDE BRIAND,B,Tuesday,49,81.408642911
ARISTIDE BRIAND,B,Wednesday,74,143.140529532
ARISTIDE BRIAND,B,Wednesday,49,70.530172414
ARISTIDE BRIAND,B,Thursday,74,141.882681564
ARISTIDE BRIAND,B,Thursday,49,79.070796460
ARISTIDE BRIAND,B,Friday,74,126.445427729
ARISTIDE BRIAND,B,Friday,49,73.677570093
ARISTIDE BRIAND,B,Saturday,74,185.708737864
ARISTIDE BRIAND,B,Saturday,49,162.449139280
ARSENAL,B,Sunday,34,204.719148936
ARSENAL,B,Monday,34,84.267170762
ARSENAL,B,Tuesday,34,100.203042328
ARSENAL,B,Wednesday,34,96.203079885
ARSENAL,B,Thursday,34,100.414847162
ARSENAL,B,Friday,34,96.547967480
ARSENAL,B,Saturday,34,198.670769231
ARSENAL,T,Sunday,7,205.064263323
ARSENAL,T,Monday,25,157
ARSENAL,T,Monday,7,91.569267998
ARSENAL,T,Tuesday,25,155.333333333
ARSENAL,T,Tuesday,7,94.111612903
ARSENAL,T,Wednesday,7,83.828164292
ARSENAL,T,Thursday,25,443.2
ARSENAL,T,Thursday,7,87.374193548
ARSENAL,T,Friday,25,40.25
ARSENAL,T,Friday,7,87.694805195
ARSENAL,T,Saturday,25,62
ARSENAL,T,Saturday,7,141.379166667
ARTEMIS,B,Sunday,80,271.642706131
ARTEMIS,B,Sunday,66,196.630801688
ARTEMIS,B,Monday,80,106.294468547
ARTEMIS,B,Monday,66,107.310823312
ARTEMIS,B,Tuesday,80,117.742534837
ARTEMIS,B,Tuesday,66,114.194899818
ARTEMIS,B,Wednesday,80,116.457272727
ARTEMIS,B,Wednesday,66,98.849315068
ARTEMIS,B,Thursday,80,116.811320755
ARTEMIS,B,Thursday,66,99.878378378
ARTEMIS,B,Friday,80,117.288854003
ARTEMIS,B,Friday,66,88.032854209
ARTEMIS,B,Saturday,80,224.837799718
ARTEMIS,B,Saturday,66,211
ARTISTES,B,Sunday,53,190.949056604
ARTISTES,B,Monday,53,101.808779762
ARTISTES,B,Tuesday,53,108.353612167
ARTISTES,B,Wednesday,53,105.305952381
ARTISTES,B,Thursday,53,106.952714536
ARTISTES,B,Friday,53,105.451724138
ARTISTES,B,Saturday,53,183.452773613
ARTS ET METIERS,T,Sunday,82,191.815533981
ARTS ET METIERS,T,Sunday,51,190.044753086
ARTS ET METIERS,T,Monday,82,86.947218260
ARTS ET METIERS,T,Monday,51,97.791529153
ARTS ET METIERS,T,Tuesday,82,99.408316633
ARTS ET METIERS,T,Tuesday,51,111.720746184
ARTS ET METIERS,T,Wednesday,82,99.619243986
ARTS ET METIERS,T,Wednesday,51,96.597003155
ARTS ET METIERS,T,Thursday,82,99.321981424
ARTS ET METIERS,T,Thursday,51,108.182030338
ARTS ET METIERS,T,Friday,82,98.034602076
ARTS ET METIERS,T,Friday,51,109.780285036
ARTS ET METIERS,T,Saturday,82,164.411883182
ARTS ET METIERS,T,Saturday,51,166.970849176
ARTS-LOI,M,Sunday,6,191.622889306
ARTS-LOI,M,Sunday,5,163.175757576
ARTS-LOI,M,Sunday,2,137.586888658
ARTS-LOI,M,Sunday,1,148.903258656
ARTS-LOI,M,Monday,6,169.636739516
ARTS-LOI,M,Monday,5,76.438963211
ARTS-LOI,M,Monday,2,114.165636588
ARTS-LOI,M,Monday,1,74.861863847
ARTS-LOI,M,Tuesday,6,168.540474741
ARTS-LOI,M,Tuesday,5,83.742690058
ARTS-LOI,M,Tuesday,2,119.484210526
ARTS-LOI,M,Tuesday,1,81.440379404
ARTS-LOI,M,Wednesday,6,104.628775835
ARTS-LOI,M,Wednesday,5,86.058411215
ARTS-LOI,M,Wednesday,2,104.439166667
ARTS-LOI,M,Wednesday,1,77.472811060
ARTS-LOI,M,Thursday,6,99.875291375
ARTS-LOI,M,Thursday,5,79.659442724
ARTS-LOI,M,Thursday,2,101.408432148
ARTS-LOI,M,Thursday,1,73.936551724
ARTS-LOI,M,Friday,6,95.034229829
ARTS-LOI,M,Friday,5,75.525316456
ARTS-LOI,M,Friday,2,90.442048518
ARTS-LOI,M,Friday,1,82.784494087
AUDERGHEM-FORET,T,Sunday,44,216.105633803
AUDERGHEM-FORET,T,Monday,44,102.137521222
AUDERGHEM-FORET,T,Tuesday,44,105.190340909
AUDERGHEM-FORET,T,Wednesday,44,102.057361377
AUDERGHEM-FORET,T,Thursday,44,106.937046005
AUDERGHEM-FORET,T,Friday,44,98.440097800
AUDERGHEM-FORET,T,Saturday,44,174.229299363
AUDERGHEM-SHOP.,B,Sunday,34,194.995495495
AUDERGHEM-SHOP.,B,Monday,34,93.334558824
AUDERGHEM-SHOP.,B,Tuesday,34,106.543003851
AUDERGHEM-SHOP.,B,Wednesday,34,98.350083752
AUDERGHEM-SHOP.,B,Thursday,34,86.76
AUDERGHEM-SHOP.,B,Friday,34,92.983827493
AUDERGHEM-SHOP.,B,Saturday,34,179.716346154
AUDERGHEM-SHOP.,T,Sunday,8,193.779141104
AUDERGHEM-SHOP.,T,Monday,8,98.016057586
AUDERGHEM-SHOP.,T,Tuesday,8,111.498545666
AUDERGHEM-SHOP.,T,Wednesday,8,99.272727273
AUDERGHEM-SHOP.,T,Thursday,8,101.049817740
AUDERGHEM-SHOP.,T,Friday,8,88.851010101
AUDERGHEM-SHOP.,T,Saturday,8,169.515413070
AUDITOIRES-UCL,B,Sunday,79,264.960975610
AUDITOIRES-UCL,B,Monday,79,140.906666667
AUDITOIRES-UCL,B,Tuesday,79,149.491803279
AUDITOIRES-UCL,B,Wednesday,79,115.327526132
AUDITOIRES-UCL,B,Thursday,79,108.556034483
AUDITOIRES-UCL,B,Friday,79,118.772321429
AUDITOIRES-UCL,B,Saturday,79,257.695473251
AUDREY HEPBURN,B,Sunday,88,222.816205534
AUDREY HEPBURN,B,Sunday,13,182.320346320
AUDREY HEPBURN,B,Monday,88,169.626035503
AUDREY HEPBURN,B,Monday,13,163.391432792
AUDREY HEPBURN,B,Tuesday,88,171.398994132
AUDREY HEPBURN,B,Tuesday,13,191.052173913
AUDREY HEPBURN,B,Wednesday,88,166.806110458
AUDREY HEPBURN,B,Wednesday,13,175.266839378
AUDREY HEPBURN,B,Thursday,88,168.443298969
AUDREY HEPBURN,B,Thursday,13,174.802013423
AUDREY HEPBURN,B,Friday,88,166.793729373
AUDREY HEPBURN,B,Friday,13,168.693370166
AUDREY HEPBURN,B,Saturday,88,200.550580431
AUDREY HEPBURN,B,Saturday,13,199.865573770
AULNE,B,Sunday,74,222.757575758
AULNE,B,Sunday,48,211.355311355
AULNE,B,Monday,74,160.245283019
AULNE,B,Monday,48,97.587878788
AULNE,B,Tuesday,74,187.188059701
AULNE,B,Tuesday,48,99.344502618
AULNE,B,Wednesday,74,150.3984375
AULNE,B,Wednesday,48,91.478571429
AULNE,B,Thursday,74,124.764044944
AULNE,B,Thursday,48,99.262162162
AULNE,B,Friday,74,131.413793103
AULNE,B,Friday,48,95.733333333
AULNE,B,Saturday,74,225.918918919
AULNE,B,Saturday,48,227.142394822
AUMALE,M,Sunday,5,157.566905005
AUMALE,M,Monday,5,77.149624495
AUMALE,M,Tuesday,5,84.607751028
AUMALE,M,Wednesday,5,78.545950156
AUMALE,M,Thursday,5,77.690797546
AUMALE,M,Friday,5,74.180406213
AUTRIQUE,B,Sunday,13,254.368308351
AUTRIQUE,B,Monday,13,145.226299694
AUTRIQUE,B,Tuesday,13,144.280513919
AUTRIQUE,B,Wednesday,13,136.080792683
AUTRIQUE,B,Thursday,13,130.628571429
AUTRIQUE,B,Friday,13,140.560301508
AUTRIQUE,B,Saturday,13,252.135273973
AVANT-PORT,B,Monday,57,166.350721421
AVANT-PORT,B,Tuesday,57,180.332987552
AVANT-PORT,B,Wednesday,57,163.949346405
AVANT-PORT,B,Thursday,57,162.798525799
AVANT-PORT,B,Friday,57,168.196132597
AVENUE DU PORT,B,Sunday,86,187.957330416
AVENUE DU PORT,B,Sunday,20,232.819892473
AVENUE DU PORT,B,Sunday,14,186.618510158
AVENUE DU PORT,B,Monday,86,152.591881275
AVENUE DU PORT,B,Monday,20,118.332957111
AVENUE DU PORT,B,Monday,14,136.844696970
AVENUE DU PORT,B,Tuesday,86,170.302567237
AVENUE DU PORT,B,Tuesday,20,122.316048035
AVENUE DU PORT,B,Tuesday,14,140.875462392
AVENUE DU PORT,B,Wednesday,86,161.899293286
AVENUE DU PORT,B,Wednesday,20,101.034982935
AVENUE DU PORT,B,Wednesday,14,136.305278174
AVENUE DU PORT,B,Thursday,86,172.657185629
AVENUE DU PORT,B,Thursday,20,107.299426934
AVENUE DU PORT,B,Thursday,14,141.728070175
AVENUE DU PORT,B,Friday,86,160.804123711
AVENUE DU PORT,B,Friday,20,103.106416275
AVENUE DU PORT,B,Friday,14,124.734475375
AVENUE DU PORT,B,Saturday,86,171.130236794
AVENUE DU PORT,B,Saturday,20,215.512720157
AVENUE DU PORT,B,Saturday,14,170.748076923
AVENUE DU ROI,B,Sunday,50,277.824675325
AVENUE DU ROI,B,Sunday,49,193.690909091
AVENUE DU ROI,B,Sunday,48,171.510324484
AVENUE DU ROI,B,Monday,50,156.814528594
AVENUE DU ROI,B,Monday,49,77.304391218
AVENUE DU ROI,B,Monday,48,104.697514996
AVENUE DU ROI,B,Tuesday,50,164.973018550
AVENUE DU ROI,B,Tuesday,49,84.243876464
AVENUE DU ROI,B,Tuesday,48,122.314917127
AVENUE DU ROI,B,Wednesday,50,143.379668050
AVENUE DU ROI,B,Wednesday,49,74.859527121
AVENUE DU ROI,B,Wednesday,48,121.614898990
AVENUE DU ROI,B,Thursday,50,161.202127660
AVENUE DU ROI,B,Thursday,49,84.940265487
AVENUE DU ROI,B,Thursday,48,102.849902534
AVENUE DU ROI,B,Friday,50,146.2375
AVENUE DU ROI,B,Friday,49,83.544280443
AVENUE DU ROI,B,Friday,48,111.687140115
AVENUE DU ROI,B,Saturday,50,245.342618384
AVENUE DU ROI,B,Saturday,49,156.174273859
AVENUE DU ROI,B,Saturday,48,200.842281879
AVENUE DU ROI,T,Sunday,82,195.441340782
AVENUE DU ROI,T,Sunday,81,167.673913043
AVENUE DU ROI,T,Monday,82,83.594756210
AVENUE DU ROI,T,Monday,81,69.363893605
AVENUE DU ROI,T,Tuesday,82,99.210650888
AVENUE DU ROI,T,Tuesday,81,81.222608696
AVENUE DU ROI,T,Wednesday,82,98.975486052
AVENUE DU ROI,T,Wednesday,81,67.221563981
AVENUE DU ROI,T,Thursday,82,102.728744939
AVENUE DU ROI,T,Thursday,81,71.197761194
AVENUE DU ROI,T,Friday,82,93.161764706
AVENUE DU ROI,T,Friday,81,64.492779783
AVENUE DU ROI,T,Saturday,82,153.832142857
AVENUE DU ROI,T,Saturday,81,137.692052980
